Rating,Review,Sentiment
10,"One of the best seasons I have ever seen. its filled with amazing moments,some of the most scariest Scenes I have ever seen and also one of the best villains yet in vecna.",Positive
8,"This is a tough one, now I watched Seasons 1 - 4, I binged the living **** out of it, and I gotta say, I never thought I'd like this. I'm very happy that I caught this series just in time for next year. So this series is an 8/10 because it suffers from some incorrect scientific fiction. The other thing is that the characters in most cases are incredibly stupid, especially in season 4 where it's noticeable. The writers struggled with Seasons 3 - 4 because they forgot certain logic that was explained in S1 - 2. I can only hope they rewatch what they made for S5, because if it continues with the same writing from S4, then oh boy we have a Game of Thrones Situation coming. Anyway, the way this Series is composed with its cinematography characters and Cool and Fun Sci-fi, it's **** far.",Positive
9,[SPOILER ALERT: This review contains spoilers.],Positive
10,"I still have no idea how they do it, but somehow they manage to keep the series going and that each time it goes up a level more than the previous one, without a doubt it’s a good series that everyone should watch.",Positive
8,"Very good throughout, despite there being a few time where the plot falls flat or the scenes feel too long. Apart from that there are very likable characters and role models and great storytelling.",Positive
8,"Very nice tv show , so excited of 5 season, can't wait, actually one of my favorite tv show ever. 8,5/10 solid",Positive
9,"Is Stranger Things actually worth watching? Stranger things - it’s a science fiction horror drama. Moreover, it involves the topics such as love, friendship, school issues and so on. This TV series is about a group of teenagers who is trying to save their town by fighting horrific monsters. The plot is super unique, the scenes are thrilling and the character development is amazing. The directors, The Duffer Brothers, have come up with a brilliant idea for the series. They have managed to create a TV show for people of all ages. The Stranger things series has four seasons. The fifth one will come out at the end of 2025 year. Each season consists of 8-11 episodes. The actors’ cast has been selected correctly. Every actor suits its character. That helps you to immerse yourself in the theme of the series. The single disadvantage is about the episode release time. Fans always have to wait about 2-3 years to watch a new season. It’s too long, because with the passage of time, you start to forget last episodes, so you have to rewatch the TV show to recall the details in your memory. In general, it’s the best way to spend your free time with pleasure watching something interesting. Try to offer it to your family and friends. They’ll like your idea.",Positive
8,Stranger things is a good show for me and I can't wait for the fifth season,Positive
7,It's very good for the first few seasons after that I kinda feel like it over stays It's welcome,Positive
10,"A series that contains everything to be good, script, soundtrack that fits perfectly at the right moments, charismatic characters, actors who were born to play their roles and a wonderful direction, one of the greatest series ever made in humanity and that marked and will mark many people still.",Positive
10,"""Stranger Things"" is a thrilling nostalgia trip for anyone who grew up in the 80s. The show's homage to classics like A Nightmare on Elm Street and Aliens is a delightful treat for fans of that era. The authentic 80s pop culture references and the well-crafted storyline make it a must-watch. It brilliantly captures the essence of the time, taking us on a suspenseful and heartwarming journey. A nostalgic masterpiece!",Positive
9,Arguably Netflix's greatest original.,Positive
10,Rating: 97 AMAZING Season Ranked: 1. Season 3 Rating: 100 (Masterpiece) 2. Season 4 Rating: 100 (Masterpiece) 3. Season 1 Rating: 100 (Masterpiece) 4. Season 2: Rating: 77 (Good) Full Series Review: Stranger Things is well crafted television show with amazing storytelling and direction from the Duffer Brothers. It also has a incredible cast ensemble especially Millie Bobby Brown and David Harbour who gives phenomenal performances. Overall Stranger Things is a spectacular show and definitely one of the best Netflix Original Show.,Positive
7,"It’s alright. Not the best show I’ve ever seen, not the worst show I’ve ever seen. It’s just alright. I’ve seen scarier things before, but I would say it’s a good watch, but it is not perfection.",Positive
10,"This show has something for everyone- horror, comedy, romance, sci-fi, drama, action, thrills. If you are on the gate about watching this, do yourself a favour and watch it.",Positive
9,I love the characters so much! The storylines and characters are so fleshed out and watching it gets me emotional.,Positive
8,"I love this show and its thorough world building, I felt for every character that made me be on the edge of my seat when a point of tension was in the show. I could not part with any of them, but the most recent season I felt unsatisfied. There can be such a thing as too much character development or focus. The show has been slowly widening the scope, leaving Hawkins and introducing International players. Yet I feel that the show is too scared to depart from our group of kids and venture into the world it has created. The military, governments, nations are involved, its a avengers level threat yet I feel that the world doesn't care. Here we are at the end of the world potentially but everyone is smiling and going about their day. I hope that we get to see a big face off between the government/world against the invading dimension. I hope the scope of the show widens past our small group of kids from Hawkins.",Positive
10,"A detective horror story set in the 80s, full of nostalgic throwbacks and a childish fun sense of humor. 10/10 because stranger things has executed exactly what it set out to do and its done so splendidly!",Positive
10,Very good. Amazing story whith very well written Characters and cool Monsters.,Positive
10,[SPOILER ALERT: This review contains spoilers.],Positive
10,"Great show. I really struggle to commit to an entire series yet this show has totally broke the barrier. I absolutely loved this show due to its plot, sound track, and overall premise. This show has a great uniqueness to it, and has been well loved by teens to adults. This show is so well coordinated together. I watched it in under 2 weeks, and considering the fact I’m never able to commit to a show, like I’ve said, this was completely ironic. If you’re looking for a review to change your opinion on whether you should watch it or not because maybe you feel it’s too overrated, make this review the game changer. Great job, Duffer Brothers!",Positive
10,The BEST series I have see for a long time. I like the atmosphere the cast.,Positive
10,The series which never be unseccesful. And 4th season is the best season so far because we can see hole story clearly. Netflix is earning earning money because of this!,Positive
7,Enjoyable show. Season 1 and 4 are particular strong. 2 and 3 are decent. Great horror and drama elements.,Positive
8,"Season 1 : 8,2 At it's core, Stranger Things is a Redemption Story. It's excels in the term of fleshing out all of their character (even the one we didn't see often). Everyone has its flaws, and everyone trying to be better because of it. And through this ""Stranges"" event",Positive
10,"What makes a tv show interesting is very important for the audience. The audience must stay focused and enjoy the tv show the whole time. Quality, characters, story, and entertainment are the best parts of this tv show, which are very important for the audiences and the fans. To start with, the quality of the tv show is top-rated, which means the scenes, clothes, and location is perfectly designed, and it doesn't change over time. For a Tv show, it is essential to stay committed to the first season, which means if it starts excellent, the audience expects it to keep up the same and not change. Stranger things start with exceptional quality and stay the same over time. Characters are always essential in all movies, TV shows, and stranger things have the best characters you can ever imagine. It takes only one episode to fall in love with these beautiful characters and relate to them until the end. At first, you might see them as ""kids,"" but as soon as you see the first episode, you will know this is not a kid's show and is far more interesting than that. The love these kids give to their characters is far greater than their ""roles,"" and this is something it makes this tv show very unique. From seasons one to four, you will see many changes in the characters and environment, but this change is not bad. The characters develop more and grow up, which is very important for what comes next. The writer will add many new characters to the show, which is always reasonable and necessary for the main characters to develop more and get more power using their team. The storyline is far from unique. It stays interesting every minute and makes you wonder what will happen next. The storyline is about two different worlds and how they met. The characters are doing a great job, and they grow up with the storyline, which makes the tv show and the storyline more believable. The storyline keeps getting stronger and more powerful after each episode, and at some point, you feel like you can't stop watching and Entertainment is one of the most outstanding qualities of this amazing tv show. Once you start watching this tv show, there is no going back, and you will not regret it. The tv show will keep you wondering while answering all of your questions about the environment, characters, and even storyline. Netflix has done a great job creating this unique and memorable tv show. One of the good things about this tv show for me was the 1980s environment and how good and comfortable the cast created every moment with tiny details and love.",Positive
7,[SPOILER ALERT: This review contains spoilers.],Positive
10,One of my favorite shows! They continually cast and add characters with depth and heart! Can’t wait for another season.,Positive
10,Best series ever. You can feel how much the creators love and care for their project. More 5 seasons please.,Positive
9,"I love Stranger Things for the same reasons I love Cobra Kai: wacky adventures with lovable characters who are surprisingly relatable…and a big, cheesy serving of gut-warming nostalgia.",Positive
10,"This is my favorite show of all time! I highly recommend watching it, it’s really thrilling, but is a little scary.",Positive
10,wow this was amazing ... thank you sooo much for such an epic season... best one so far,Positive
10,"Stranger Things is my personal most favourite show of all time ,I remember starting the show early 2017 and was so invested in the characters and plot that it just made me binge through 2 seasons in a day. Stranger Things is the type of show to just progress and get better each season and now that Stranger Things 4 is out I have no words to describe how i felt about this season,but i can say that it is definitely the best season yet.",Positive
10,"This show is fantastic. The cast is great, the story is well-told, and there are very few things that I would change to make the show better.",Positive
10,Absolute must-see television. The Duffer Brothers knock it out of the park for what I believe is the series' best season so far. There are so many twists and turns and it had me on the edge of my seat the whole time. This is one of the most addicting series that I have ever watched. Season 4 Volume 1 exceeded my wildest expectations and I felt like it was a season that was exceptionally well written.,Positive
10,"I love this tv show, it's mysterious and adventurous, I love the CGI and the music in it, simply a quality masterpiece. One of the best show on Netflix.",Positive
10,this is the best movie series netflix never misses on a season they are all great but i think 2 is the worst.,Positive
8,"Great show, it brings an atmosphere with it that will forever link it to the show. Just great.",Positive
10,"A TV Show that is so immersed in fantasy, yet feels real, Stranger Things always delivers on entertainment, a good story and very great visuals, and its unique storytelling, which includes various protagonists, is not only fascinating but innovative and very creative",Positive
7,[SPOILER ALERT: This review contains spoilers.],Positive
10,Continues to be magical. The nostalgia is a factor but the directing and cinematography just lift it so far above most other shows.,Positive
10,[SPOILER ALERT: This review contains spoilers.],Positive
10,one of the best shows on netflix. the new season (s4) has been so far amazing and i'm so excited about the part 2 of it coming out. a masterpiece show.,Positive
8,"Last seasson is a huge improve, more or less the same, but it has something that makes you keep watching, start is a bit slow but worth it.",Positive
9,[SPOILER ALERT: This review contains spoilers.],Positive
8,"It has some lows, and it has some highs. For me personally, Season 3 was the lowest, but Season 4 is amazing, and Season 1 is very competent. It's not perfect, but I'm really glad that it's around.",Positive
10,The series is very god. The 4. season was a big suprise because it was even better than the 3 others. If you look for a god series watch stranger things,Positive
9,This show is something else I have never been so immersed in a whole made up world an been so invested in the life's of made up people in a made up place. I have watched the first and second seasons to many times now and every time I love it more.,Positive
10,Best Netflix show bar none. May 27th will be a spectacular event for streaming watchers from around the world. Sign up to be one of the first to see Stranger things s4!!,Positive
9,"This show is brilliant. It's thrilling, possesses dynamic characters, interesting plotlines, a great story arc and incredible visuals.",Positive
